36	35	48	62
38	31	56	58
37	31	49	61
39	35	49	55
37	36	48	47
38	29	49	50
33	31	41	46
34	27	38	39
29	29	41	40
32	26	40	45
26	21	35	35
29	23	38	35
28	22	36	34
24	24	35	28
27	20	32	31
25	19	33	26
24	19	29	26
19	19	32	26
22	22	28	21
24	15	28	22
26	21	27	24
23	18	26	24
21	20	30	20
24	19	28	21
19	17	28	11
24	20	27	16
21	16	24	22
19	16	33	19
22	13	32	21
23	18	27	19
23	16	33	22
23	17	30	17
22	17	31	18
19	18	27	17
22	18	29	18
23	14	24	21
25	20	29	24
22	19	29	15
23	16	28	19
25	17	26	16
19	17	31	23
21	18	26	27
17	17	31	19
24	24	31	17
24	12	29	23
25	18	26	28
24	19	28	18
23	19	29	26
21	20	25	21
24	18	26	24
21	16	24	15
23	18	28	27
20	16	31	28
22	17	29	22
22	19	28	20
21	17	29	24
21	15	30	20
17	19	27	23
25	18	27	19
20	18	26	14
18	17	24	25
24	16	25	17
20	17	25	23
21	15	28	25
22	18	26	17
22	21	28	31
23	19	29	24
21	15	24	23
23	14	26	28
19	20	25	22
22	18	26	21
22	19	26	26
19	17	28	23
22	20	28	21
23	18	28	24
22	19	25	21
17	16	26	23
18	18	23	25
19	19	24	19
18	17	20	13
19	22	24	11
22	16	28	23
21	18	25	21
20	17	28	21
20	19	24	18
23	16	24	18
23	16	24	28
17	17	28	13
20	15	25	18
25	19	28	17
24	17	25	16
21	18	28	18
21	16	28	22
23	13	27	20
17	16	22	22
21	19	28	16
23	20	23	13
20	20	27	26
21	24	24	24
22	21	21	18
